last_name, first_name,player_id,year,p_game,p_formatted_ip,p_total_pitches,
Krehbiel, Joey,607216,2022,56,57.2,977,
Garrett, Amir,607237,2022,60,45.1,804,
Martinez, Nick,607259,2022,47,106.1,1720,
Freeland, Kyle,607536,2022,31,174.2,2839,
Lugo, Seth,607625,2022,62,65.0,1079,
Estevez, Carlos,608032,2022,62,57.0,1021,
De Jong, Chase,608328,2022,42,71.2,1174,
Fried, Max,608331,2022,30,185.1,2818,
Giolito, Lucas,608337,2022,30,161.2,2753,
Irvin, Cole,608344,2022,30,181.0,2610,
Knebel, Corey,608349,2022,46,44.2,795,
Wacha, Michael,608379,2022,23,127.1,1949,
Marquez, German,608566,2022,31,181.2,2839,
Duffey, Tyler,608648,2022,40,44.0,741,
Graveman, Kendall,608665,2022,65,65.0,1035,
Leone, Dominic,608678,2022,55,49.1,826,
Stratton, Chris,608717,2022,60,63.1,1100,
Suter, Brent,608718,2022,54,66.2,1070,
Voth, Austin,608723,2022,41,101.2,1762,
Ruiz, Jose,614179,2022,63,60.2,1115,
Quantrill, Cal,615698,2022,32,186.1,2920,
Sawamura, Hirokazu,617228,2022,49,50.2,838,
Cuas, Jose,621016,2022,47,37.2,687,
Wilson, Steven,621051,2022,50,53.0,874,
Rucker, Michael,621074,2022,41,54.2,914,
Kaprielian, James,621076,2022,26,134.0,2230,
Eflin, Zach,621107,2022,20,75.2,1194,
Buehler, Walker,621111,2022,12,65.0,1046,
Blackburn, Paul,621112,2022,21,111.1,1762,
McCullers Jr., Lance,621121,2022,8,47.2,759,
Alvarado, Jose,621237,2022,59,51.0,881,
Diaz, Edwin,621242,2022,61,62.0,928,
Berrios, Jose,621244,2022,32,172.0,2721,
Garza Jr., Ralph,621248,2022,19,35.0,514,
Underwood Jr., Duane,621249,2022,51,57.1,1004,
Minter, A.J.,621345,2022,75,70.0,1111,
Poche, Colin,621363,2022,65,58.2,974,
Hearn, Taylor,621368,2022,31,100.0,1787,
Strahm, Matt,621381,2022,50,44.2,764,
Banks, Tanner,621383,2022,35,53.0,897,
Blach, Ty,621389,2022,24,44.1,674,
Wood, Alex,622072,2022,26,130.2,2239,
Smith, Drew,622098,2022,44,46.0,780,
Staumont, Josh,622251,2022,42,37.2,731,
Tate, Dillon,622253,2022,67,73.2,1077,
Castillo, Luis,622491,2022,25,150.1,2506,
Crismatt, Nabil,622503,2022,50,67.1,1062,
Dominguez, Seranthony,622554,2022,54,51.0,823,
Senzatela, Antonio,622608,2022,19,92.1,1521,
Severino, Luis,622663,2022,19,102.0,1639,
Hernandez, Elieser,622694,2022,20,62.1,1095,
Sewald, Paul,623149,2022,65,64.0,974,
Flexen, Chris,623167,2022,33,137.2,2204,
Hader, Josh,623352,2022,56,50.0,943,
Stephens, Jackson,623451,2022,39,53.2,944,
Phillips, Evan,623465,2022,64,63.0,923,
Herget, Jimmy,623474,2022,49,69.0,996,
Suarez, Ranger,624133,2022,29,155.1,2564,
Thompson, Keegan,624522,2022,29,115.0,1878,
Lopez, Reynaldo,625643,2022,61,65.1,985,
Iglesias, Raisel,628452,2022,67,62.0,979,
Marte, Yunior,628708,2022,39,48.0,856,
Urias, Julio,628711,2022,31,175.0,2622,
Crowe, Wil,640444,2022,60,76.0,1380,
Finnegan, Kyle,640448,2022,66,66.2,1053,
Harvey, Hunter,640451,2022,38,39.1,661,
Manaea, Sean,640455,2022,30,158.0,2482,
Puk, A.J.,640462,2022,62,66.1,1072,
Lopez, Pablo,641154,2022,32,180.0,2910,
Alexander, Tyler,641302,2022,27,101.0,1591,
Baker, Bryan,641329,2022,66,69.2,1181,
Bickford, Phil,641360,2022,60,61.0,990,
Brogdon, Connor,641401,2022,47,44.0,710,
Castano, Daniel,641447,2022,10,35.2,577,
Cortes Jr., Nestor,641482,2022,28,158.1,2465,
Danish, Tyler,641501,2022,32,40.1,664,
Dunning, Dane,641540,2022,29,153.1,2548,
Foster, Matt,641582,2022,48,45.0,768,
Gott, Trevor,641627,2022,45,45.2,761,
Hudson, Dakota,641712,2022,27,139.2,2253,
Jefferies, Daulton,641726,2022,8,39.1,611,
Jimenez, Joe,641729,2022,62,56.2,937,
Keller, Brad,641745,2022,35,139.2,2275,
Kuhl, Chad,641771,2022,27,137.0,2375,
Lauer, Eric,641778,2022,29,158.2,2676,
Littell, Zack,641793,2022,39,44.1,758,
Mahle, Tyler,641816,2022,23,120.2,2101,
Mayza, Tim,641835,2022,63,48.2,731,
Ober, Bailey,641927,2022,11,56.0,854,
Pagan, Emilio,641941,2022,59,63.0,1126,
Trivino, Lou,642152,2022,64,53.2,955,
Williams, Devin,642207,2022,65,60.2,1068,
Yarbrough, Ryan,642232,2022,20,80.0,1355,
Soto, Gregory,642397,2022,64,60.1,1102,
Loaisiga, Jonathan,642528,2022,50,48.0,761,
Barria, Jaime,642545,2022,35,79.1,1123,
Peralta, Freddy,642547,2022,18,78.0,1353,
Bautista, Felix,642585,2022,65,65.2,995,
Santana, Dennis,642701,2022,63,58.2,991,
Acevedo, Domingo,642758,2022,70,67.2,1005,
Cimber, Adam,643256,2022,77,70.2,1044,
Jax, Griffin,643377,2022,65,72.1,1157,
Leiter Jr., Mark,643410,2022,35,67.2,1086,
Pruitt, Austin,643493,2022,39,55.1,809,
Rogers, Tyler,643511,2022,68,75.2,1166,
Arano, Victor,644364,2022,43,42.0,678,
Alcantara, Sandy,645261,2022,32,228.2,3248,
Pop, Zach,647315,2022,35,39.0,536,
Abreu, Bryan,650556,2022,55,60.1,1019,
King, Michael,650633,2022,34,51.0,776,
Civale, Aaron,650644,2022,20,97.0,1588,
Quijada, Jose,650671,2022,42,40.2,691,
Cabrera, Genesis,650893,2022,39,44.2,736,
Castillo, Diego,650895,2022,59,54.1,843,
Sanchez, Cristopher,650911,2022,15,40.0,662,
Abreu, Albert,656061,2022,33,38.2,707,
Beeks, Jalen,656222,2022,42,61.0,999,
Bird, Jake,656234,2022,38,47.2,745,
Burke, Brock,656271,2022,52,82.1,1330,
Cease, Dylan,656302,2022,32,184.0,3120,
Davidson, Tucker,656353,2022,12,52.0,912,
Davis, Austin,656354,2022,52,56.0,1118,
Faedo, Alex,656412,2022,12,53.2,967,
Flaherty, Jack,656427,2022,9,36.0,662,
Gilbreath, Lucas,656458,2022,47,43.0,796,
Hentges, Sam,656529,2022,57,62.0,944,
Hoffman, Jeff,656546,2022,35,44.2,848,
Houck, Tanner,656557,2022,32,60.0,918,
Keller, Mitch,656605,2022,31,159.0,2661,
Kopech, Michael,656629,2022,25,119.1,2011,
Lange, Alex,656638,2022,71,63.1,1046,
Logue, Zach,656657,2022,14,57.0,1022,
Martin, Brett,656685,2022,55,50.0,750,
Megill, Trevor,656730,2022,39,45.0,774,
Megill, Tylor,656731,2022,15,47.1,791,
Montgomery, Jordan,656756,2022,32,178.1,2715,
Nelson, Nick,656793,2022,47,68.2,1204,
Peterson, David,656849,2022,28,105.2,1889,
Rasmussen, Drew,656876,2022,28,146.0,2239,
Scott, Tanner,656945,2022,67,62.2,1273,
Smeltzer, Devin,656970,2022,15,70.1,1129,
Steele, Justin,657006,2022,24,119.0,2032,
Swanson, Erik,657024,2022,57,53.2,880,
Thompson, Ryan,657044,2022,47,42.2,679,
Watkins, Spenser,657093,2022,23,105.1,1642,
Wright, Kyle,657140,2022,30,180.1,2697,
Otto Jr., Glenn,657248,2022,27,135.2,2229,
Webb, Logan,657277,2022,32,192.1,3006,
Schmidt, Clarke,657376,2022,29,57.2,930,
Hill, Tim,657612,2022,55,48.0,745,
Koenig, Jared,657649,2022,10,39.1,653,
Ryan, Joe,657746,2022,27,147.0,2391,
Ohtani, Shohei,660271,2022,28,166.0,2629,
Suarez, Jose,660761,2022,22,109.0,1783,
Graterol, Brusdar,660813,2022,46,49.2,675,
De Los Santos, Enyel,660853,2022,50,53.1,845,
Gutierrez, Vladimir,661269,2022,10,36.2,684,
Martinez, Adrian,661309,2022,12,57.2,1015,
Duran, Jhoan,661395,2022,57,67.2,1023,
Clase, Emmanuel,661403,2022,77,72.2,921,
Martinez, Seth,661527,2022,29,38.2,592,
Munoz, Andres,662253,2022,64,65.0,1024,
Suarez, Robert,663158,2022,45,47.2,801,
Feltner, Ryan,663372,2022,20,97.1,1675,
Thornton, Trent,663423,2022,32,46.0,664,
Martin, Davis,663436,2022,14,63.1,1044,
Pilkington, Konnor,663455,2022,15,58.0,1039,
Bubic, Kris,663460,2022,28,129.0,2262,
McKenzie, Triston,663474,2022,31,191.1,2807,
McClanahan, Shane,663556,2022,28,166.1,2463,
Moran, Jovani,663558,2022,31,40.2,672,
Falter, Bailey,663559,2022,20,84.0,1295,
Lynch, Daniel,663738,2022,27,131.2,2435,
Woodford, Jake,663765,2022,27,48.1,697,
Sandoval, Patrick,663776,2022,27,148.2,2456,
Hicks, Jordan,663855,2022,35,61.1,1051,
Singer, Brady,663903,2022,27,153.1,2376,
Stephan, Trevor,663986,2022,66,63.2,1032,
Gonsolin, Tony,664062,2022,24,130.1,2015,
Effross, Scott,664123,2022,60,56.2,815,
Gibaut, Ian,664139,2022,34,36.0,694,
Brubaker, JT,664141,2022,28,144.0,2381,
Swarmer, Matt,664161,2022,11,34.0,657,
Clarke, Taylor,664199,2022,47,49.0,859,
Maton III, Phil,664208,2022,67,65.2,1089,
Valdez, Framber,664285,2022,31,201.1,3018,
Moreta, Dauri,664294,2022,35,38.1,613,
Javier, Cristian,664299,2022,30,148.2,2554,
Urquidy, Jose,664353,2022,29,164.1,2640,
Diaz, Alexis,664747,2022,59,63.2,1077,
Helsley, Ryan,664854,2022,54,64.2,962,
Lawrence, Justin,664875,2022,38,42.2,763,
Kremer, Dean,665152,2022,22,125.1,1947,
Garcia, Rony,665621,2022,16,51.0,885,
Sanmartin, Reiver,665665,2022,45,57.0,1031,
Cabrera, Edward,665795,2022,14,71.2,1215,
Assad, Javier,665871,2022,9,37.2,690,
Anderson, Ian,666120,2022,22,111.2,2005,
Garrett, Braxton,666129,2022,17,88.0,1436,
Ragans, Cole,666142,2022,9,40.0,706,
Lodolo, Nick,666157,2022,19,103.1,1779,
Manning, Matt,666159,2022,12,63.0,990,
Luzardo, Jesus,666200,2022,18,100.1,1644,
Manoah, Alek,666201,2022,31,196.2,2949,
Brash, Matt,666374,2022,39,50.2,935,
Castillo, Max,666721,2022,14,39.1,697,
Doval, Camilo,666808,2022,68,67.2,1121,
Nance, Tommy,667297,2022,35,43.2,751,
Jackson, Zach,667427,2022,54,48.0,887,
King, John,667463,2022,39,51.1,749,
Plesac, Zach,668676,2022,25,131.2,2153,
Gallen, Zac,668678,2022,31,184.0,2935,
Greene, Hunter,668881,2022,24,125.2,2200,
Ashcraft, Graham,668933,2022,19,105.0,1756,
McCarty, Kirk,668948,2022,13,37.2,574,
Gore, MacKenzie,669022,2022,16,70.0,1258,
Wilson, Bryse,669060,2022,25,115.2,1825,
Zimmermann, Bruce,669145,2022,15,73.2,1130,
Heasley, Jonathan,669169,2022,21,104.0,1796,
Burnes, Corbin,669203,2022,33,202.0,3274,
Akin, Keegan,669211,2022,45,81.2,1235,
Morgan, Eli,669212,2022,50,66.2,1017,
Kuhnel, Joel,669270,2022,53,58.0,934,
Lee, Dylan,669276,2022,46,50.2,754,
Gilbert, Logan,669302,2022,32,185.2,3015,
Wells, Tyler,669330,2022,23,103.2,1649,
Skubal, Tarik,669373,2022,21,117.2,1914,
Coleman, Dylan,669395,2022,68,68.0,1205,
Lambert, Jimmy,669424,2022,42,47.0,818,
Rogers, Trevor,669432,2022,23,107.0,1940,
Bieber, Shane,669456,2022,31,200.0,2875,
Nelson, Kyle,669459,2022,43,37.0,593,
Liberatore, Matthew,669461,2022,9,34.2,650,
Pallante, Andre,669467,2022,47,108.0,1753,
Long, Sam,669674,2022,28,42.1,739,
Snead, Kirby,669912,2022,46,44.2,780,
Alexander, Jason,669920,2022,18,71.2,1160,
Kirby, George,669923,2022,25,130.0,2092,
White, Mitch,669952,2022,25,99.0,1715,
Festa, Matthew,670036,2022,53,54.0,897,
Oller, Adam,670124,2022,19,74.1,1294,
Schreiber, John,670167,2022,64,65.0,1020,
Winckowski, Josh,670174,2022,15,70.1,1194,
Bednar, David,670280,2022,45,51.2,842,
Oviedo, Johan,670912,2022,21,56.0,980,
Richards, Trevor,670950,2022,62,64.0,1163,
