last_name, first_name,player_id,year,b_total_pa,b_total_hits,b_home_run,b_k_percent,xbadiff,solidcontact_percent,hard_hit_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,
Margot, Manuel,622534,2022,363,92,4,18.7,.010,3.7,37.9,52.7,26,46.8,27.1,
Reyes, Victor,622682,2022,336,80,3,22.9,-0.007,5,36.8,56,38,34.7,27.3,
Mateo, Jorge,622761,2022,533,109,13,27.6,-0.001,5.7,32.7,53.9,34.9,36.1,29,
Velazquez, Andrew,623205,2022,349,63,9,34.1,-0.006,6.6,34,53.9,30.7,43.4,25.9,
Ramirez, Harold,623912,2022,435,121,6,16.6,.020,6.6,41.2,56.4,35.8,43.3,20.9,
Santander, Anthony,623993,2022,647,138,33,18.9,-0.017,8.1,43.3,47.7,43.1,35.7,21.2,
Alonso, Pete,624413,2022,685,162,40,18.7,.009,4.8,44.8,49.9,41.4,34.1,24.5,
Arroyo, Christian,624414,2022,300,80,6,16.3,-0.006,4.3,42.1,57.5,33.2,41.3,25.5,
Biggio, Cavan,624415,2022,303,52,6,28.1,.009,8.6,32.8,40.3,46,31,23,
Frazier, Adam,624428,2022,602,129,3,12.1,-0.024,4,24.5,48.7,35.1,38.1,26.8,
Trevino, Jose,624431,2022,353,83,11,17.6,.009,4,35,50,35.4,40.5,24.1,
Gordon, Nick,624503,2022,443,110,9,23.7,.011,8.1,44.7,59.4,41.1,32.7,26.2,
McGuire, Reese,624512,2022,274,67,3,20.4,.036,5.9,29.7,51.7,36.1,35.6,28.2,
Soler, Jorge,624585,2022,306,56,13,29.4,-0.019,6.6,43.6,46,49.7,34.3,16,
Hernandez, Yadiel,628450,2022,327,82,9,22.6,.025,7.7,42.1,51.5,28.3,45.5,26.2,
Cronenworth, Jake,630105,2022,684,140,17,19.2,.018,6.9,34.1,41.8,34.3,36.2,29.5,
Pinder, Chad,640461,2022,379,85,12,31.1,.000,7.3,40.7,52.9,36.2,37.4,26.4,
Anderson, Tim,641313,2022,351,100,6,15.7,-0.001,5.4,41.2,57.9,31,39,30,
Bellinger, Cody,641355,2022,550,106,19,27.3,-0.003,5.8,38.1,49.9,45.8,33.1,21.1,
Crawford, J.P.,641487,2022,603,126,6,13.3,-0.012,4.7,29.7,41.3,33.7,39.3,27,
Dozier, Hunter,641531,2022,500,109,12,25.0,-0.005,5,38.5,50.6,40.5,36.7,22.8,
Engel, Adam,641553,2022,260,55,2,29.2,.005,5.3,33.1,47.4,40.8,30.2,29,
Guillorme, Luis,641645,2022,335,81,2,13.7,.018,2.8,24.9,40.6,28.1,43.1,28.9,
Heim, Jonah,641680,2022,450,92,16,19.3,.003,5.9,39.9,50.8,50.5,32.1,17.4,
Mancini III, Trey,641820,2022,587,124,18,23.0,-0.006,10.3,40.4,48.1,40.9,35.7,23.4,
McMahon, Ryan,641857,2022,597,130,20,26.5,-0.002,6.7,46.5,45.2,35.3,36.4,28.3,
Neuse, Sheldon,641914,2022,293,58,4,27.3,.002,2.6,38.2,50.7,24.6,41.9,33.5,
O'Neill, Tyler,641933,2022,383,76,14,26.9,-0.012,6.7,43.3,46.3,42,35.7,22.3,
Tellez, Rowdy,642133,2022,599,116,35,20.2,-0.033,7.3,46,43.5,37.7,43.6,18.7,
