,PLAYERNAME,Trajectory
668663,Tres Barrera,3
668709,J.J. Bleday,4
668715,Spencer Steer,2
668731,Akil Baddoo,2
668751,Cal Mitchell,2
668800,Andrew Knizner,2
668804,Bryan Reynolds,2
668939,Adley Rutschman,3
668942,Josh Rojas,2
669003,Garrett Mitchell,2
669004,MJ Melendez,3
669016,Brandon Marsh,2
669087,Sam Huff,2
669127,Shea Langeliers,3
669134,Luis Campusano,3
669221,Sean Murphy,2
669222,Nick Senzel,2
669242,Tommy Edman,2
669256,Nick Solak,2
669257,Will Smith,3
669261,Jack Suwinski,2
669289,Santiago Espinal,2
669304,Jose Miranda,2
669352,Bubba Thompson,2
669357,Nolan Gorman,3
669374,Keston Hiura,3
669394,Jake Burger,2
669397,Nick Allen,2
669450,Cooper Hummel,2
669701,Josh Smith,3
669720,Austin Hays,2
669742,Darick Hall,3
669911,Michael Toglia,3
670032,Nicky Lopez,1
670042,Luke Raley,2
670276,Cal Stevenson,2
670351,Jose Rojas,4
670541,Yordan Alvarez,2
670623,Isaac Paredes,3
670712,Michael Brosseau,3
670764,Taylor Walls,3
670768,Luis Gonzalez,2
670770,TJ Friedl,3
671083,Buddy Kennedy,2
671213,Triston Casas,1
671221,Drew Waters,2
671277,Luis Garcia,2
671289,Tyler Freeman,2
671739,Michael Harris II,1
672284,Jarred Kelenic,3
672356,Gabriel Arias,1
672386,Alejandro Kirk,2
672515,Gabriel Moreno,2
672695,Geraldo Perdomo,2
673357,Luis Robert,2
673490,Ha-Seong Kim,3
673548,Seiya Suzuki,2
673962,Josh Jung,2
675656,Kevin Smith,3
676391,Ernie Clement,2
676480,Jose Barrero,3
676628,Mark Contreras,2
676632,Bligh Madris,2
676694,Jake Meyers,2
676801,Chas McCormick,2
677551,Wander Franco,2
677594,Julio Rodriguez,2
677649,Ezequiel Duran,2
677950,Alek Thomas,1
677951,Bobby Witt Jr.,3
677954,Jordan Groshans,1
678246,Miguel Vargas,4
679529,Spencer Torkelson,2
679631,Terrin Vavra,2
680700,Richard Palacios,2
680757,Steven Kwan,2
680776,Jarren Duran,2
680777,Ryan Jeffers,3
680814,Peyton Burdick,3
680911,Owen Miller,2
680977,Brendan Donovan,2
681082,Bryson Stott,2
681146,Jonah Bride,2
681481,Kerry Carpenter,2
682928,CJ Abrams,2
682985,Riley Greene,1
682998,Corbin Carroll,2
683002,Gunnar Henderson,1
683021,Michael Stefanic,1
683734,Andrew Vaughn,2
686469,Vinnie Pasquantino,2
686681,Michael Massey,3
687093,Vaughn Grissom,2
