last_name, first_name,player_id,year,b_total_pa,launch_angle_avg,
Walker, Taijuan,592836,2021,51,-9.7,
Wilkerson, Stevie,592859,2021,76,4.5,
Yelich, Christian,592885,2021,475,2.8,
Merrifield, Whit,593160,2021,720,14.1,
Bogaerts, Xander,593428,2021,603,12.5,
Rivas, Webster,593590,2021,77,10.2,
Alberto, Hanser,593643,2021,255,16.1,
Polanco, Jorge,593871,2021,644,19.3,
Sano, Miguel,593934,2021,532,17.6,
Difo, Wilmer,594694,2021,240,12.2,
Calhoun, Kole,594777,2021,182,17.3,
Duvall, Adam,594807,2021,555,23.6,
Eaton, Adam,594809,2021,288,8.3,
Gosselin, Phil,594838,2021,373,11.5,
Kiermaier, Kevin,595281,2021,390,1.1,
Knapp, Andrew,595284,2021,159,13.1,
Wallach, Chad,595453,2021,66,8.1,
Alfaro, Jorge,595751,2021,311,1.8,
Profar, Jurickson,595777,2021,412,14,
Baez, Javier,595879,2021,547,10.6,
Cave, Jake,595909,2021,178,8.4,
Evans, Phillip,595943,2021,247,5.3,
Gallagher, Cam,595956,2021,124,14.5,
Hedges, Austin,595978,2021,312,19,
Lindor, Francisco,596019,2021,524,14.4,
Nogowski Jr., John,596056,2021,143,15.6,
Odor, Rougned,596059,2021,361,19.6,
Slater, Austin,596103,2021,306,7.8,
Story, Trevor,596115,2021,595,17.5,
Vogelbach, Daniel,596129,2021,258,11.7,
Sanchez, Gary,596142,2021,440,20.5,
Kepler, Max,596146,2021,490,16.3,
Quinn, Roman,596451,2021,62,11.2,
Franco, Maikel,596748,2021,403,9.1,
Garcia, Robel,596825,2021,117,14.3,
Choi, Ji-Man,596847,2021,305,14.8,
Bradley Jr., Jackie,598265,2021,428,9.6,
La Stella, Tommy,600303,2021,242,13.5,
Severino, Pedro,600474,2021,419,15.2,
Nunez, Renato,600524,2021,55,14,
Candelario, Jeimer,600869,2021,626,12.6,
Daza, Yonathan,602074,2021,331,6.6,
Urias, Ramon,602104,2021,296,5.2,
Rondon, Jose,602922,2021,90,19.6,
Ahmed, Nick,605113,2021,473,10.1,
Anderson, Brian,605119,2021,264,11.3,
Barnes, Austin,605131,2021,225,13.5,
Bell, Josh,605137,2021,568,4.9,
Betts, Mookie,605141,2021,550,18.9,
Caratini, Victor,605170,2021,356,8.4,
Davis, J.D.,605204,2021,211,13.2,
Garcia, Aramis,605244,2021,94,9.7,
Musgrove, Joe,605397,2021,57,5.1,
Nola, Aaron,605400,2021,63,-4,
Panik, Joe,605412,2021,257,9.7,
Perez, Michael,605421,2021,231,10.2,
Woodruff, Brandon,605540,2021,58,6.6,
Zimmer, Bradley,605548,2021,348,6.8,
Castro, Harold,605612,2021,339,10.2,
Arcia, Orlando,606115,2021,89,8.9,
Tapia, Raimel,606132,2021,533,-4.4,
Aquino, Aristides,606157,2021,204,22.9,
Hernandez, Teoscar,606192,2021,595,13.1,
Mercedes, Yermin,606213,2021,262,15.8,
Peraza, Jose,606299,2021,154,20.8,
Marte, Ketel,606466,2021,374,10.3,
Greiner, Grayson,606988,2021,82,15.4,
Haase, Eric,606992,2021,381,16,
Nimmo, Brandon,607043,2021,386,8.8,
Peterson, Jace,607054,2021,302,12,
Turner, Trea,607208,2021,646,11.4,
Smith, Kevan,607345,2021,106,5.7,
Beaty, Matt,607461,2021,234,12.3,
Blandino, Alex,607468,2021,82,13.6,
Pillar, Kevin,607680,2021,347,20.2,
Stallings, Jacob,607732,2021,427,10.7,
Ramirez, Jose,608070,2021,636,18.2,
Bregman, Alex,608324,2021,400,15.9,
Fried, Max,608331,2021,67,-0.5,
Gallo, Joey,608336,2021,616,22.7,
Kelly, Carson,608348,2021,359,18.6,
Seager, Corey,608369,2021,409,10.7,
Winker, Jesse,608385,2021,485,10.8,
Marquez, German,608566,2021,60,6.4,
Mazara, Nomar,608577,2021,181,11.1,
Murphy, Tom,608596,2021,325,15.9,
Jankowski, Travis,608671,2021,157,6.9,
Mayfield, Jack,608686,2021,290,17,
Plawecki, Kevin,608700,2021,173,13.4,
Refsnyder, Rob,608701,2021,157,9.3,
Mondesi, Adalberto,609275,2021,136,16.1,
Andujar, Miguel,609280,2021,162,6.1,
Vosler, Jason,613564,2021,82,18.6,
Cordero, Franchy,614173,2021,136,7.7,
Reyes, Franmil,614177,2021,466,9.8,
Torrens, Luis,620443,2021,378,6.1,
Robertson, Daniel,621002,2021,90,10.4,
Martin Jr., Richie,621006,2021,105,8.3,
Schrock, Max,621011,2021,134,18.5,
Swanson, Dansby,621020,2021,653,14.1,
Newman, Kevin,621028,2021,554,9.9,
Taylor, Chris,621035,2021,582,17.4,
Correa, Carlos,621043,2021,640,12.1,
Buehler, Walker,621111,2021,82,-7.6,
Dahl, David,621311,2021,220,11.5,
Phillips, Brett,621433,2021,292,17.8,
Taylor, Tyrone,621438,2021,271,16,
Buxton, Byron,621439,2021,254,13.3,
Brinson, Lewis,621446,2021,290,14,
Bolt, Skye,621450,2021,60,10.8,
Duggar, Steven,621453,2021,297,15.2,
Rios, Edwin,621458,2021,60,11.1,
Stewart, DJ,621466,2021,318,19.7,
Ward, Taylor,621493,2021,237,16.4,
Mathisen, Wyatt,621500,2021,51,23.7,
Nido, Tomas,621512,2021,161,10,
Wisdom, Patrick,621550,2021,375,19.1,
Wendle, Joey,621563,2021,501,6.2,
Olson, Matt,621566,2021,673,16.2,
