last_name, first_name,player_id,year,b_total_pa,iz_contact_percent,in_zone_swing,
Williams, Luke,663897,2022,136,77.8,194,
Rodgers, Brendan,663898,2022,581,84.6,753,
Lowe, Nathaniel,663993,2022,645,82.1,962,
Happ, Ian,664023,2022,641,79.5,904,
Mathias, Mark,664029,2022,91,70,110,
France, Ty,664034,2022,613,90.2,787,
Lowe, Brandon,664040,2022,266,75.9,381,
Bader, Harrison,664056,2022,313,88.1,345,
Fletcher, David,664058,2022,228,92.8,251,
Haggerty, Sam,664059,2022,201,75.8,260,
Moore, Dylan,664238,2022,255,76.7,330,
Garlick, Kyle,664247,2022,162,75.3,190,
Lopez, Alejo,664670,2022,156,88.8,205,
Straw, Myles,664702,2022,596,91.7,743,
Isbel, Kyle,664728,2022,278,84,343,
Higgins, P.J.,664731,2022,229,84.6,266,
Bohm, Alec,664761,2022,631,83.9,807,
Wade Jr., LaMonte,664774,2022,251,87.6,323,
Mazeika, Patrick,664850,2022,72,90,90,
Zavala, Seby,664874,2022,205,73.4,323,
Mendick, Danny,664901,2022,106,78.3,138,
Brown, Seth,664913,2022,555,81.5,726,
McCarthy, Jake,664983,2022,354,78,491,
Clemens, Kody,665019,2022,127,80.3,188,
Walsh, Jared,665120,2022,454,79.2,601,
Maton, Nick,665155,2022,85,77.6,116,
Pena, Jeremy,665161,2022,558,83.6,701,
Celestino, Gilberto,665482,2022,347,82.6,470,
Guerrero Jr., Vladimir,665489,2022,706,83.7,872,
Pache, Cristian,665506,2022,260,77.6,339,
Soto, Juan,665742,2022,664,86,728,
Taveras, Leody,665750,2022,341,79.9,417,
Cabrera, Oswaldo,665828,2022,171,82.3,248,
Cruz, Oneil,665833,2022,361,79.7,345,
Chisholm Jr., Jazz,665862,2022,241,74.6,319,
Gimenez, Andres,665926,2022,557,79.6,683,
Aranda, Jonathan,666018,2022,87,84.6,104,
Jones, Nolan,666134,2022,94,70.3,128,
Kirilloff, Alex,666135,2022,156,85.1,215,
Lowe, Josh,666139,2022,198,70.5,288,
Lux, Gavin,666158,2022,471,84.7,562,
Moniak, Mickey,666160,2022,112,77.4,137,
Adell, Jo,666176,2022,285,69.7,403,
Beer, Seth,666179,2022,126,76.7,159,
Benson, Will,666181,2022,61,79.2,72,
Bichette, Bo,666182,2022,697,85.2,957,
Carlson, Dylan,666185,2022,488,79.3,663,
Trammell, Taylor,666211,2022,117,77.7,148,
Encarnacion, Jerar,666464,2022,81,65.9,132,
Morel, Christopher,666624,2022,425,65.2,581,
Castro, Rodolfo,666801,2022,278,75.9,352,
Dalbec, Bobby,666915,2022,353,75.6,459,
Garcia, Adolis,666969,2022,657,73.4,834,
Gurriel Jr., Lourdes,666971,2022,493,85.6,624,
Arozarena, Randy,668227,2022,645,78.5,743,
Pratto, Nick,668472,2022,182,76,254,
Barrera, Tres,668663,2022,53,88.1,67,
Bleday, JJ,668709,2022,238,77.8,352,
Steer, Spencer,668715,2022,108,85.6,125,
Baddoo, Akil,668731,2022,225,79.3,300,
Mitchell, Cal,668751,2022,232,83.8,291,
Knizner, Andrew,668800,2022,293,85.2,352,
Reynolds, Bryan,668804,2022,614,84.1,767,
Capel, Conner,668843,2022,59,78.5,79,
Rutschman, Adley,668939,2022,470,88.5,563,
Rojas, Josh,668942,2022,510,83.5,630,
Kreidler, Ryan,668952,2022,84,80.5,128,
Mitchell, Garrett,669003,2022,68,76.9,117,
Melendez Jr., MJ,669004,2022,534,79.3,709,
Marsh, Brandon,669016,2022,461,77.7,574,
Stowers, Kyle,669065,2022,98,79.4,141,
Huff, Sam,669087,2022,132,72.7,172,
Langeliers, Shea,669127,2022,153,67.9,212,
Campusano, Luis,669134,2022,50,80.7,57,
Murphy, Sean,669221,2022,612,82.8,806,
Senzel, Nick,669222,2022,420,85.3,489,
Edman, Tommy,669242,2022,630,87.8,730,
Solak, Nick,669256,2022,95,79.5,112,
Smith, Will,669257,2022,578,83.9,759,
Suwinski, Jack,669261,2022,372,79.4,491,
Espinal, Santiago,669289,2022,491,88.3,635,
Miranda, Jose,669304,2022,483,85,622,
Thompson, Bubba,669352,2022,181,68.8,256,
Gorman, Nolan,669357,2022,313,74,450,
Hiura, Keston,669374,2022,266,67.6,389,
Burger, Jake,669394,2022,183,76.9,234,
Allen, Nick,669397,2022,326,84.5,426,
Hummel, Cooper,669450,2022,201,81.6,261,
Smith, Josh H.,669701,2022,253,81.9,320,
Hays, Austin,669720,2022,582,87.5,650,
Hall, Darick,669742,2022,142,77.2,197,
Call, Alex,669743,2022,131,80.7,181,
Toglia, Michael,669911,2022,120,76.1,163,
Lopez, Nicky,670032,2022,480,86.3,604,
Raley, Luke,670042,2022,72,71.8,103,
Wallner, Matt,670242,2022,65,65.8,79,
Stevenson, Cal,670276,2022,71,78.8,85,
Rojas, Jose,670351,2022,57,77.3,88,
Alvarez, Yordan,670541,2022,561,87.4,643,
Paredes, Isaac,670623,2022,381,89,473,
Brosseau, Mike,670712,2022,160,72.4,225,
Walls, Taylor,670764,2022,466,78.9,631,
Gonzalez, Luis,670768,2022,350,82,506,
Friedl Jr., TJ,670770,2022,258,85,314,
Soto, Livan,670869,2022,59,88.5,87,
Kennedy, Buddy,671083,2022,94,82.2,118,
Casas, Triston,671213,2022,95,79.7,118,
Waters, Drew,671221,2022,109,75.3,146,
Garcia, Luis,671277,2022,377,80.5,425,
Freeman, Tyler,671289,2022,86,87.4,111,
Harris II, Michael,671739,2022,441,83.7,528,
Kelenic, Jarred,672284,2022,181,72.5,244,
Arias, Gabriel,672356,2022,57,73.1,67,
Kirk, Alejandro,672386,2022,541,89.3,638,
Diaz, Jordan,672478,2022,51,84.3,83,
Moreno, Gabriel,672515,2022,73,86.8,91,
Perdomo, Geraldo,672695,2022,500,83.7,639,
Peraza, Oswald,672724,2022,57,90.2,61,
Marcano, Tucupita,672779,2022,177,86.5,229,
Robert, Luis,673357,2022,401,82.6,511,
Kim, Ha-Seong,673490,2022,582,85.8,739,
Suzuki, Seiya,673548,2022,446,84.1,529,
Jung, Josh,673962,2022,102,80.4,112,
Smith, Kevin,675656,2022,151,78,200,
Velazquez, Nelson,676369,2022,206,70.3,279,
Clement, Ernie,676391,2022,179,86.4,206,
Burleson, Alec,676475,2022,53,80.6,67,
Barrero, Jose,676480,2022,174,77.4,235,
Contreras, Mark,676628,2022,61,73.2,97,
Madris, Bligh,676632,2022,123,79.3,169,
Meyers, Jake,676694,2022,160,77.1,201,
Trejo, Alan,676701,2022,125,82.9,170,
McCormick, Chas,676801,2022,407,74.1,517,
MacKinnon, David,676950,2022,57,83.8,74,
Franco, Wander,677551,2022,344,92.5,438,
Rodriguez, Julio,677594,2022,560,80.1,663,
Duran, Ezequiel,677649,2022,220,76.5,285,
Thomas, Alek,677950,2022,411,81.6,490,
Witt Jr., Bobby,677951,2022,632,82.1,789,
Groshans, Jordan,677954,2022,65,89.4,85,
Vargas, Miguel,678246,2022,50,77.6,76,
Torkelson, Spencer,679529,2022,404,82.1,541,
Vavra, Terrin,679631,2022,103,83.2,143,
Palacios, Richie,680700,2022,123,87.4,183,
Kwan, Steven,680757,2022,638,93.7,746,
Duran, Jarren,680776,2022,223,82.6,299,
Jeffers, Ryan,680777,2022,236,82.8,314,
Burdick, Peyton,680814,2022,102,77,148,
Miller, Owen,680911,2022,472,88.2,549,
Donovan, Brendan,680977,2022,468,90.4,534,
Stott, Bryson,681082,2022,466,86.1,588,
Bride, Jonah,681146,2022,187,89.1,184,
Carpenter, Kerry,681481,2022,113,81.5,157,
Villar, David,681584,2022,181,73.5,249,
Eaton, Nate,681987,2022,122,82.7,162,
Abrams, CJ,682928,2022,302,83.7,368,
Greene, Riley,682985,2022,418,82.2,534,
Carroll, Corbin,682998,2022,115,77.9,145,
Henderson, Gunnar,683002,2022,132,78.5,172,
Stefanic, Michael,683021,2022,69,86.1,79,
Vaughn, Andrew,683734,2022,555,87.8,637,
Pasquantino, Vinnie,686469,2022,298,90.4,333,
Massey, Michael,686681,2022,194,75.4,264,
Grissom, Vaughn,687093,2022,156,83.8,198,
Pujols, Albert,405395,2021,296,88.7,344,
Cabrera, Miguel,408234,2021,526,81.9,692,
Rivera, Rene,425784,2021,78,72.8,103,
Wainwright, Adam,425794,2021,74,75,96,
Molina, Yadier,425877,2021,473,82.7,623,
Suzuki, Kurt,435559,2021,247,85.7,315,
Cruz Jr., Nelson,443558,2021,584,77.4,760,
Peralta, David,444482,2021,538,86.4,677,
Pina, Manny,444489,2021,208,88.1,243,
Escobar, Alcides,444876,2021,349,83.4,475,
Longoria, Evan,446334,2021,291,79.8,387,
Morton, Charlie,450203,2021,62,67.2,67,
Lester, Jon,452657,2021,51,73.2,71,
Cabrera, Asdrubal,452678,2021,352,82.1,468,
Scherzer, Max,453286,2021,63,62.1,95,
Blackmon, Charlie,453568,2021,582,85.4,738,
Maldonado, Martin,455117,2021,426,79.1,560,
Chirinos, Robinson,455139,2021,112,73.8,160,
Cain, Lorenzo,456715,2021,286,88.2,381,
Solano, Donovan,456781,2021,344,86.9,458,
