last_name, first_name,player_id,year,b_total_pa,sprint_speed,
Walton, Donovan,622268,2022,78,27.6,
Margot, Manuel,622534,2022,363,27.9,
Camargo, Johan,622666,2022,166,24.8,
Reyes, Victor,622682,2022,336,27.5,
Mateo, Jorge,622761,2022,533,30.1,
Heineman, Tyler,623168,2022,174,26.7,
Velazquez, Andrew,623205,2022,349,29.2,
Bote, David,623520,2022,127,26.7,
Ramirez, Harold,623912,2022,435,28.1,
Santander, Anthony,623993,2022,647,26.4,
Alonso, Pete,624413,2022,685,25.6,
Arroyo, Christian,624414,2022,300,27.8,
Biggio, Cavan,624415,2022,303,28.5,
Frazier, Adam,624428,2022,602,26.8,
Trevino, Jose,624431,2022,353,25.1,
Gordon, Nick,624503,2022,443,27.8,
McGuire, Reese,624512,2022,274,26.0,
Soler, Jorge,624585,2022,306,26.9,
Sosa, Edmundo,624641,2022,190,29.5,
Heredia, Guillermo,628338,2022,82,28.0,
Hernandez, Yadiel,628450,2022,327,25.6,
Ibanez, Andy,628451,2022,128,27.5,
Cronenworth, Jake,630105,2022,684,28.2,
Meadows, Austin,640457,2022,147,27.2,
Mercado, Oscar,640458,2022,128,28.3,
Pinder, Chad,640461,2022,379,25.9,
Azocar, Jose,640492,2022,216,29.5,
Anderson, Tim,641313,2022,351,28.3,
Bellinger, Cody,641355,2022,550,28.1,
Calhoun, Willie,641432,2022,62,25.9,
Collins, Zack,641470,2022,108,24.2,
Crawford, J.P.,641487,2022,603,26.9,
Davis, Jonathan,641505,2022,91,28.1,
Delay, Jason,641511,2022,167,26.1,
Demeritte, Travis,641513,2022,96,28.3,
Dozier, Hunter,641531,2022,500,27.9,
Engel, Adam,641553,2022,260,29.1,
Fraley, Jake,641584,2022,247,28.0,
Garver, Mitch,641598,2022,215,26.3,
Guillorme, Luis,641645,2022,335,25.9,
Hampson, Garrett,641658,2022,226,29.5,
Heim, Jonah,641680,2022,450,26.0,
Hermosillo, Michael,641684,2022,73,28.5,
Leblanc, Charles,641779,2022,169,28.0,
Lewis, Kyle,641786,2022,62,24.1,
Mancini III, Trey,641820,2022,587,25.5,
McKinney, Billy,641856,2022,57,27.0,
McMahon, Ryan,641857,2022,597,25.8,
Neuse, Sheldon,641914,2022,293,26.4,
O'Neill, Tyler,641933,2022,383,29.8,
Robinson, Chuckie,642020,2022,60,26.5,
Smith, Dominic,642086,2022,152,26.3,
Tellez, Rowdy,642133,2022,599,23.9,
Thaiss, Matt,642136,2022,81,24.4,
VanMeter, Josh,642165,2022,192,26.1,
Wade, Tyler,642180,2022,163,29.0,
White, Eli,642201,2022,117,30.1,
Mejia, Francisco,642336,2022,299,26.9,
Siri, Jose,642350,2022,325,30.4,
Sierra, Magneuris,642423,2022,96,29.6,
Barrera, Luis,642456,2022,85,28.5,
Rosario, Amed,642708,2022,670,29.5,
Adames, Willy,642715,2022,617,27.8,
Alcantara, Sergio,642727,2022,224,27.6,
Estrada, Thairo,642731,2022,541,28.3,
Wynns, Austin,642851,2022,177,24.9,
Benintendi, Andrew,643217,2022,521,27.5,
Cooper, Garrett,643265,2022,469,26.2,
Dubon, Mauricio,643289,2022,265,28.2,
Jansen, Danny,643376,2022,248,27.5,
Kemp, Tony,643393,2022,558,26.2,
Kiner-Falefa, Isiah,643396,2022,531,28.4,
McNeil, Jeff,643446,2022,589,27.4,
Schwindel, Frank,643524,2022,292,25.5,
Chang, Yu,644374,2022,190,28.4,
Albies, Ozzie,645277,2022,269,27.5,
Robles, Victor,645302,2022,407,28.7,
Herrera, Jose,645444,2022,124,25.3,
Ford, Mike,645801,2022,149,24.2,
Devers, Rafael,646240,2022,614,25.5,
Naylor, Josh,647304,2022,498,25.2,
Toro, Abraham,647351,2022,352,28.0,
Diaz, Aledmys,649557,2022,327,27.7,
Urias, Luis,649966,2022,472,26.4,
Diaz, Lewin,650331,2022,174,24.6,
Arraez, Luis,650333,2022,603,26.8,
Palacios, Jermaine,650339,2022,77,28.4,
Jimenez, Eloy,650391,2022,327,25.7,
Torres, Gleyber,650402,2022,572,26.9,
Castro, Willi,650489,2022,392,28.4,
Diaz, Yandy,650490,2022,558,27.1,
De La Cruz, Bryan,650559,2022,355,27.8,
Viloria, Meibrys,650619,2022,75,25.4,
Rengifo, Luis,650859,2022,511,27.9,
Pinto, Rene,650907,2022,83,26.9,
Adams, Riley,656180,2022,155,26.7,
Allen, Greg,656185,2022,134,28.1,
Bouchard, Sean,656248,2022,97,28.0,
Chapman, Matt,656305,2022,621,28.4,
Chavis, Michael,656308,2022,426,28.9,
Fairchild, Stuart,656413,2022,110,29.0,
Garrett, Stone,656448,2022,84,28.6,
Hill, Derek,656537,2022,92,29.7,
Hilliard, Sam,656541,2022,200,28.7,
Hoskins, Rhys,656555,2022,672,25.9,
Joe, Connor,656582,2022,467,26.8,
Luplow, Jordan,656669,2022,234,27.8,
Matijevic, J.J.,656695,2022,71,26.7,
McKinstry, Zach,656716,2022,185,28.3,
Mullins II, Cedric,656775,2022,672,28.5,
O'Hearn, Ryan,656811,2022,145,27.3,
Rivera, Emmanuel,656896,2022,359,26.9,
Schwarber, Kyle,656941,2022,669,26.4,
Smith, Pavin,656976,2022,277,26.5,
Thomas, Lane,657041,2022,548,29.4,
Tucker, Cole,657061,2022,63,27.7,
Verdugo, Alex,657077,2022,644,26.8,
Wong, Connor,657136,2022,56,28.8,
DeJong, Paul,657557,2022,237,27.8,
Laureano, Ramon,657656,2022,383,27.6,
Papierski, Michael,657709,2022,103,24.8,
Sheets, Gavin,657757,2022,410,26.6,
Olivares, Edward,658668,2022,174,28.6,
Moncada, Yoan,660162,2022,433,27.4,
Ohtani, Shohei,660271,2022,666,28.3,
Tsutsugo, Yoshi,660294,2022,193,26.0,
Castillo, Diego,660636,2022,283,27.3,
Brujan, Vidal,660644,2022,162,28.5,
Garcia, Dermis,660650,2022,125,27.4,
Acuna Jr., Ronald,660670,2022,533,28.4,
Ruiz, Keibert,660688,2022,433,25.3,
Montero, Elehuris,660707,2022,185,26.9,
Gonzalez, Oscar,660757,2022,382,28.9,
Yepez, Juan,660766,2022,274,26.8,
Sanchez, Jesus,660821,2022,343,27.3,
Park, Hoy,660829,2022,60,27.6,
Contreras, William,661388,2022,376,26.9,
Serven, Brian,661531,2022,205,26.5,
Varsho, Daulton,662139,2022,592,28.0,
Nootbaar, Lars,663457,2022,347,28.2,
Nevin, Tyler,663527,2022,184,25.6,
Hoerner, Nico,663538,2022,517,29.1,
Riley, Austin,663586,2022,693,27.7,
Madrigal, Nick,663611,2022,228,27.4,
Larnach, Trevor,663616,2022,180,27.0,
Mountcastle, Ryan,663624,2022,609,27.5,
McKenna, Ryan,663630,2022,172,29.4,
Hayes, Ke'Bryan,663647,2022,560,27.9,
Tucker, Kyle,663656,2022,609,26.5,
Cameron, Daz,663662,2022,70,28.5,
India, Jonathan,663697,2022,431,27.7,
Bart, Joey,663698,2022,291,27.1,
Raleigh, Cal,663728,2022,415,26.8,
Fortes, Nick,663743,2022,240,27.9,
Grisham, Trent,663757,2022,524,28.8,
Vierling, Matt,663837,2022,357,29.6,
Rivas III, Alfonso,663845,2022,287,26.2,
Gonzalez, Romy,663853,2022,109,28.5,
Stephenson, Tyler,663886,2022,183,26.5,
Williams, Luke,663897,2022,136,28.8,
Rodgers, Brendan,663898,2022,581,26.7,
Lowe, Nathaniel,663993,2022,645,27.1,
Happ, Ian,664023,2022,641,27.9,
Mathias, Mark,664029,2022,91,27.6,
France, Ty,664034,2022,613,24.7,
Lowe, Brandon,664040,2022,266,27.5,
Bader, Harrison,664056,2022,313,29.2,
Fletcher, David,664058,2022,228,26.1,
Haggerty, Sam,664059,2022,201,28.9,
Moore, Dylan,664238,2022,255,28.3,
Garlick, Kyle,664247,2022,162,26.6,
Lopez, Alejo,664670,2022,156,26.6,
Straw, Myles,664702,2022,596,29.3,
Isbel, Kyle,664728,2022,278,28.0,
Higgins, P.J.,664731,2022,229,26.4,
Bohm, Alec,664761,2022,631,27.0,
Wade Jr., LaMonte,664774,2022,251,26.0,
Mazeika, Patrick,664850,2022,72,24.1,
Zavala, Seby,664874,2022,205,25.8,
Mendick, Danny,664901,2022,106,26.0,
Brown, Seth,664913,2022,555,27.9,
McCarthy, Jake,664983,2022,354,30.1,
Clemens, Kody,665019,2022,127,27.3,
Walsh, Jared,665120,2022,454,25.9,
Maton, Nick,665155,2022,85,26.6,
Pena, Jeremy,665161,2022,558,29.4,
Celestino, Gilberto,665482,2022,347,27.9,
Guerrero Jr., Vladimir,665489,2022,706,26.6,
Pache, Cristian,665506,2022,260,28.6,
Soto, Juan,665742,2022,664,26.6,
Taveras, Leody,665750,2022,341,29.5,
Cabrera, Oswaldo,665828,2022,171,27.4,
Cruz, Oneil,665833,2022,361,29.9,
Chisholm Jr., Jazz,665862,2022,241,29.2,
Gimenez, Andres,665926,2022,557,29.2,
Aranda, Jonathan,666018,2022,87,25.7,
Jones, Nolan,666134,2022,94,28.0,
Kirilloff, Alex,666135,2022,156,27.6,
Lowe, Josh,666139,2022,198,28.8,
Lux, Gavin,666158,2022,471,28.8,
Moniak, Mickey,666160,2022,112,28.2,
Adell, Jo,666176,2022,285,29.8,
Beer, Seth,666179,2022,126,24.7,
Benson, Will,666181,2022,61,29.3,
Bichette, Bo,666182,2022,697,27.5,
Carlson, Dylan,666185,2022,488,28.1,
Trammell, Taylor,666211,2022,117,27.0,
Encarnacion, Jerar,666464,2022,81,27.8,
Morel, Christopher,666624,2022,425,28.8,
Castro, Rodolfo,666801,2022,278,27.3,
Dalbec, Bobby,666915,2022,353,28.3,
Garcia, Adolis,666969,2022,657,27.9,
Gurriel Jr., Lourdes,666971,2022,493,27.3,
Arozarena, Randy,668227,2022,645,28.8,
Pratto, Nick,668472,2022,182,27.2,
Barrera, Tres,668663,2022,53,24.1,
Bleday, JJ,668709,2022,238,27.8,
Steer, Spencer,668715,2022,108,27.4,
Baddoo, Akil,668731,2022,225,28.9,
Mitchell, Cal,668751,2022,232,26.1,
Knizner, Andrew,668800,2022,293,25.8,
Reynolds, Bryan,668804,2022,614,28.3,
Capel, Conner,668843,2022,59,27.6,
Rutschman, Adley,668939,2022,470,27.2,
Rojas, Josh,668942,2022,510,27.3,
Kreidler, Ryan,668952,2022,84,28.3,
Mitchell, Garrett,669003,2022,68,30.2,
Melendez Jr., MJ,669004,2022,534,27.8,
Marsh, Brandon,669016,2022,461,28.9,
Stowers, Kyle,669065,2022,98,27.0,
Huff, Sam,669087,2022,132,27.0,
Langeliers, Shea,669127,2022,153,28.7,
Campusano, Luis,669134,2022,50,26.2,
Murphy, Sean,669221,2022,612,26.1,
Senzel, Nick,669222,2022,420,28.7,
Edman, Tommy,669242,2022,630,28.8,
Solak, Nick,669256,2022,95,28.7,
Smith, Will,669257,2022,578,27.5,
Suwinski, Jack,669261,2022,372,28.7,
Espinal, Santiago,669289,2022,491,27.0,
Miranda, Jose,669304,2022,483,26.2,
Thompson, Bubba,669352,2022,181,30.4,
Gorman, Nolan,669357,2022,313,26.9,
Hiura, Keston,669374,2022,266,27.5,
Burger, Jake,669394,2022,183,27.8,
Allen, Nick,669397,2022,326,27.7,
Hummel, Cooper,669450,2022,201,28.8,
Smith, Josh H.,669701,2022,253,28.2,
Hays, Austin,669720,2022,582,27.8,
Hall, Darick,669742,2022,142,26.3,
Call, Alex,669743,2022,131,28.4,
Toglia, Michael,669911,2022,120,28.3,
Lopez, Nicky,670032,2022,480,27.7,
Raley, Luke,670042,2022,72,29.1,
Wallner, Matt,670242,2022,65,28.4,
Stevenson, Cal,670276,2022,71,27.7,
Rojas, Jose,670351,2022,57,26.4,
Alvarez, Yordan,670541,2022,561,26.4,
Paredes, Isaac,670623,2022,381,26.2,
Brosseau, Mike,670712,2022,160,27.7,
Walls, Taylor,670764,2022,466,28.7,
Gonzalez, Luis,670768,2022,350,28.2,
Friedl Jr., TJ,670770,2022,258,28.2,
Soto, Livan,670869,2022,59,27.5,
Kennedy, Buddy,671083,2022,94,29.4,
Casas, Triston,671213,2022,95,24.9,
Waters, Drew,671221,2022,109,28.4,
Garcia, Luis,671277,2022,377,27.0,
Freeman, Tyler,671289,2022,86,28.1,
Harris II, Michael,671739,2022,441,29.4,
Kelenic, Jarred,672284,2022,181,27.5,
Arias, Gabriel,672356,2022,57,28.1,
Kirk, Alejandro,672386,2022,541,24.1,
Diaz, Jordan,672478,2022,51,26.2,
Moreno, Gabriel,672515,2022,73,27.4,
Perdomo, Geraldo,672695,2022,500,27.2,
Peraza, Oswald,672724,2022,57,28.9,
Marcano, Tucupita,672779,2022,177,28.8,
Robert, Luis,673357,2022,401,27.9,
Kim, Ha-Seong,673490,2022,582,28.4,
Suzuki, Seiya,673548,2022,446,28.3,
Jung, Josh,673962,2022,102,26.9,
Smith, Kevin,675656,2022,151,27.6,
Velazquez, Nelson,676369,2022,206,28.2,
Clement, Ernie,676391,2022,179,28.2,
Burleson, Alec,676475,2022,53,25.3,
Barrero, Jose,676480,2022,174,27.9,
Contreras, Mark,676628,2022,61,28.4,
Madris, Bligh,676632,2022,123,27.9,
Meyers, Jake,676694,2022,160,28.9,
Trejo, Alan,676701,2022,125,26.7,
McCormick, Chas,676801,2022,407,28.7,
MacKinnon, David,676950,2022,57,26.7,
Franco, Wander,677551,2022,344,27.8,
Rodriguez, Julio,677594,2022,560,29.7,
Duran, Ezequiel,677649,2022,220,29.1,
Thomas, Alek,677950,2022,411,29.4,
Witt Jr., Bobby,677951,2022,632,30.4,
Groshans, Jordan,677954,2022,65,26.3,
Vargas, Miguel,678246,2022,50,29.3,
Torkelson, Spencer,679529,2022,404,27.8,
Vavra, Terrin,679631,2022,103,27.1,
Palacios, Richie,680700,2022,123,27.9,
Kwan, Steven,680757,2022,638,28.4,
Duran, Jarren,680776,2022,223,29.2,
Jeffers, Ryan,680777,2022,236,26.0,
Burdick, Peyton,680814,2022,102,28.1,
Miller, Owen,680911,2022,472,29.0,
Donovan, Brendan,680977,2022,468,27.2,
Stott, Bryson,681082,2022,466,29.0,
Bride, Jonah,681146,2022,187,26.9,
Carpenter, Kerry,681481,2022,113,27.3,
Villar, David,681584,2022,181,26.7,
Eaton, Nate,681987,2022,122,29.7,
Abrams, CJ,682928,2022,302,29.0,
Greene, Riley,682985,2022,418,27.7,
Carroll, Corbin,682998,2022,115,30.7,
Henderson, Gunnar,683002,2022,132,29.1,
Stefanic, Michael,683021,2022,69,26.4,
Vaughn, Andrew,683734,2022,555,26.2,
Pasquantino, Vinnie,686469,2022,298,25.6,
Massey, Michael,686681,2022,194,27.1,
Grissom, Vaughn,687093,2022,156,27.7,
Pujols, Albert,405395,2021,296,22.4,
Cabrera, Miguel,408234,2021,526,23.9,
Rivera, Rene,425784,2021,78,26.0,
Wainwright, Adam,425794,2021,74,23.3,
Molina, Yadier,425877,2021,473,22.6,
Suzuki, Kurt,435559,2021,247,24.6,
Cruz Jr., Nelson,443558,2021,584,26.0,
Peralta, David,444482,2021,538,27.6,
Pina, Manny,444489,2021,208,25.1,
Escobar, Alcides,444876,2021,349,27.4,
Longoria, Evan,446334,2021,291,26.1,
Morton, Charlie,450203,2021,62,21.4,
Lester, Jon,452657,2021,51,,
Cabrera, Asdrubal,452678,2021,352,24.9,
Scherzer, Max,453286,2021,63,21.0,
Blackmon, Charlie,453568,2021,582,27.7,
Maldonado, Martin,455117,2021,426,23.5,
Chirinos, Robinson,455139,2021,112,24.8,
Cain, Lorenzo,456715,2021,286,28.7,
Solano, Donovan,456781,2021,344,26.1,
McCutchen, Andrew,457705,2021,574,28.7,
Upton, Justin,457708,2021,362,27.5,
Turner, Justin,457759,2021,612,25.5,
Posey III, Buster,457763,2021,454,24.2,
Votto, Joey,458015,2021,533,25.1,
Gardner, Brett,458731,2021,461,28.6,
Joyce, Matt,459964,2021,69,26.2,
Romine, Andrew,461865,2021,64,27.6,
Andrus, Elvis,462101,2021,541,26.7,
Sandoval, Pablo,467055,2021,86,22.7,
Ramos, Wilson,467092,2021,163,23.7,
Santana, Carlos,467793,2021,659,24.9,
Parra, Gerardo,467827,2021,107,26.0,
Mercer, Jordy,474568,2021,127,26.5,
Belt, Brandon,474832,2021,381,25.6,
Zimmerman, Ryan,475582,2021,273,26.6,
Lowrie, Jed,476704,2021,512,25.2,
Avila, Alex,488671,2021,111,24.2,
Brantley Jr., Michael,488726,2021,508,25.7,
Castro, Jason,488771,2021,179,26.6,
Miley, Wade,489119,2021,59,23.7,
Gurriel, Yuli,493329,2021,605,27.0,
Rojas, Miguel,500743,2021,539,26.6,
Escobar, Eduardo,500871,2021,599,27.4,
Adrianza, Ehire,501303,2021,209,26.9,
Lagares, Juan,501571,2021,327,28.2,
Almonte, Abraham,501659,2021,175,27.8,
Davis, Khris,501981,2021,114,25.6,
Pham, Tommy,502054,2021,561,27.8,
Martinez, J.D.,502110,2021,634,26.1,
Reddick, Josh,502210,2021,158,26.3,
Freeman, Mike,502273,2021,65,27.8,
Dyson, Jarrod,502481,2021,149,27.8,
Goldschmidt, Paul,502671,2021,679,26.2,
Gonzalez, Marwin,503556,2021,307,26.8,
Darvish, Yu,506433,2021,55,22.2,
Leon, Sandy,506702,2021,220,23.7,
Altuve, Jose,514888,2021,678,28.0,
Hernandez, Cesar,514917,2021,637,28.7,
Segura, Jean,516416,2021,567,27.3,
Castro, Starlin,516770,2021,346,26.1,
