last_name, first_name,player_id,year,b_total_pa,hp_to_1b,
Plawecki, Kevin,608700,2022,186,4.91,
Refsnyder, Rob,608701,2022,177,4.47,
Reynolds, Matt,608703,2022,272,4.58,
Meneses, Joey,608841,2022,240,4.71,
Mondesi, Adalberto,609275,2022,54,,
Andujar, Miguel,609280,2022,140,4.51,
Vosler, Jason,613564,2022,111,4.55,
Cordero, Franchy,614173,2022,275,4.27,
Reyes, Franmil,614177,2022,473,4.8,
Torrens, Luis,620443,2022,166,4.79,
Swanson, Dansby,621020,2022,696,4.33,
Newman, Kevin,621028,2022,309,4.39,
Taylor, Chris,621035,2022,454,4.35,
Correa, Carlos,621043,2022,590,4.58,
Phillips, Brett,621433,2022,225,4.15,
Taylor, Tyrone,621438,2022,405,4.5,
Buxton, Byron,621439,2022,382,4.16,
Bolt, Skye,621450,2022,116,4.45,
Duggar, Steven,621453,2022,80,,
Rios, Edwin,621458,2022,92,4.62,
Ward, Taylor,621493,2022,564,4.4,
Nido, Tomas,621512,2022,313,4.82,
Bemboom, Anthony,621532,2022,59,4.52,
Wisdom, Patrick,621550,2022,534,4.5,
Wendle, Joey,621563,2022,371,4.29,
Olson, Matt,621566,2022,699,4.64,
Duffy, Matt,622110,2022,247,4.56,
Munoz, Yairo,622168,2022,60,4.33,
Walton, Donovan,622268,2022,78,4.32,
Margot, Manuel,622534,2022,363,4.34,
Camargo, Johan,622666,2022,166,4.72,
Reyes, Victor,622682,2022,336,4.5,
Mateo, Jorge,622761,2022,533,4.2,
Heineman, Tyler,623168,2022,174,4.45,
Velazquez, Andrew,623205,2022,349,4.23,
Bote, David,623520,2022,127,4.5,
Ramirez, Harold,623912,2022,435,4.33,
Santander, Anthony,623993,2022,647,4.67,
Alonso, Pete,624413,2022,685,4.67,
Arroyo, Christian,624414,2022,300,4.42,
Biggio, Cavan,624415,2022,303,4.35,
Frazier, Adam,624428,2022,602,4.4,
Trevino, Jose,624431,2022,353,4.68,
Gordon, Nick,624503,2022,443,4.41,
McGuire, Reese,624512,2022,274,4.51,
Soler, Jorge,624585,2022,306,4.66,
Sosa, Edmundo,624641,2022,190,4.32,
Heredia, Guillermo,628338,2022,82,4.38,
Hernandez, Yadiel,628450,2022,327,4.62,
Ibanez, Andy,628451,2022,128,4.41,
Cronenworth, Jake,630105,2022,684,4.34,
Meadows, Austin,640457,2022,147,4.4,
Mercado, Oscar,640458,2022,128,4.41,
Pinder, Chad,640461,2022,379,4.7,
Azocar, Jose,640492,2022,216,4.34,
Anderson, Tim,641313,2022,351,4.32,
Bellinger, Cody,641355,2022,550,4.24,
Calhoun, Willie,641432,2022,62,,
Collins, Zack,641470,2022,108,,
Crawford, J.P.,641487,2022,603,4.44,
Davis, Jonathan,641505,2022,91,4.41,
Delay, Jason,641511,2022,167,4.74,
Demeritte, Travis,641513,2022,96,4.46,
Dozier, Hunter,641531,2022,500,4.49,
Engel, Adam,641553,2022,260,4.2,
Fraley, Jake,641584,2022,247,4.26,
