last_name, first_name,player_id,year,p_formatted_ip,p_k_percent,p_bb_percent,f_strike_percent,
Hader, Josh,623352,2022,50.0,37.0,9.6,52.5,
Stephens, Jackson,623451,2022,53.2,20.0,9.8,60.3,
Phillips, Evan,623465,2022,63.0,33.0,6.4,67.7,
Herget, Jimmy,623474,2022,69.0,23.7,5.6,63.1,
Suarez, Ranger,624133,2022,155.1,19.5,8.8,57.6,
Thompson, Keegan,624522,2022,115.0,22.3,8.9,57.3,
Lopez, Reynaldo,625643,2022,65.1,24.8,4.3,62.1,
Iglesias, Raisel,628452,2022,62.0,31.7,5.7,60.8,
Marte, Yunior,628708,2022,48.0,20.6,10.3,61.2,
Urias, Julio,628711,2022,175.0,24.1,6.0,66.6,
Crowe, Wil,640444,2022,76.0,20.5,11.4,56.9,
Finnegan, Kyle,640448,2022,66.2,26.1,8.2,61.8,
Harvey, Hunter,640451,2022,39.1,28.7,7.6,62.4,
Manaea, Sean,640455,2022,158.0,23.2,7.5,63.8,
Puk, A.J.,640462,2022,66.1,27.0,8.2,61.5,
Lopez, Pablo,641154,2022,180.0,23.6,7.2,62.9,
Alexander, Tyler,641302,2022,101.0,14.3,5.9,66.9,
Baker, Bryan,641329,2022,69.2,26.1,8.9,63.6,
Bickford, Phil,641360,2022,61.0,27.1,5.7,61.1,
Brogdon, Connor,641401,2022,44.0,26.6,5.9,66.5,
Castano, Daniel,641447,2022,35.2,12.8,5.8,64.7,
Cortes Jr., Nestor,641482,2022,158.1,26.5,6.2,67.3,
Danish, Tyler,641501,2022,40.1,18.5,6.9,53.8,
Dunning, Dane,641540,2022,153.1,20.4,9.2,59.6,
Foster, Matt,641582,2022,45.0,21.8,8.8,64.6,
Gott, Trevor,641627,2022,45.2,23.7,6.5,57,
Hudson, Dakota,641712,2022,139.2,13.1,10.2,59.2,
Jefferies, Daulton,641726,2022,39.1,16.3,4.7,58.1,
Jimenez, Joe,641729,2022,56.2,33.3,5.6,62.3,
Keller, Brad,641745,2022,139.2,16.5,9.2,54.1,
Kuhl, Chad,641771,2022,137.0,17.8,9.4,59.6,
Lauer, Eric,641778,2022,158.2,23.8,8.9,62,
Littell, Zack,641793,2022,44.1,20.5,6.8,65.8,
Mahle, Tyler,641816,2022,120.2,25.0,8.5,61.6,
Mayza, Tim,641835,2022,48.2,22.8,6.2,63.4,
Ober, Bailey,641927,2022,56.0,22.5,4.8,67.8,
Pagan, Emilio,641941,2022,63.0,30.7,9.5,64.3,
Trivino, Lou,642152,2022,53.2,26.8,9.6,56.2,
Williams, Devin,642207,2022,60.2,40.0,12.5,57.9,
Yarbrough, Ryan,642232,2022,80.0,17.2,6.2,67.9,
Soto, Gregory,642397,2022,60.1,22.8,12.9,56.9,
Loaisiga, Jonathan,642528,2022,48.0,18.2,9.4,61.9,
Barria, Jaime,642545,2022,79.1,17.1,6.0,68.4,
Peralta, Freddy,642547,2022,78.0,27.1,8.5,58,
Bautista, Felix,642585,2022,65.2,34.8,9.1,60.5,
