last_name, first_name,player_id,year,sl_avg_speed,sl_avg_break,ch_avg_speed,ch_avg_break,cu_avg_speed,cu_avg_break,si_avg_speed,si_avg_break,fc_avg_spin,fc_avg_break,fs_avg_speed,fs_avg_break,
Richards, Garrett,572070,2022,88.6,3.2,90,15.9,76.7,22.2,95.7,11.2,,,,,
Tepera, Ryan,572193,2022,85.2,7.5,85.8,12.9,81.6,5.3,92.9,20.2,,,,,
Keuchel, Dallas,572971,2022,77,10.6,79.2,15.3,,,87.2,16.6,2167,8.2,,,
Mantiply, Joe,573009,2022,,,82.6,16.7,81.1,7.5,90.4,18.9,,,,,
Rogers, Taylor,573124,2022,80.9,14.5,,,,,94.3,18.8,,,,,
Stroman, Marcus,573186,2022,84.7,13.9,,,81.3,16.6,92,9.9,2576,5.9,87,12.5,
Thielbar, Caleb,573204,2022,81.3,14.7,82.7,13.3,73,19.5,,,,,,,
Kikuchi, Yusei,579328,2022,86.5,5.3,87,13.6,,,,,2255,11.3,,,
Adam, Jason,592094,2022,81.3,13.5,90,16.7,79.6,18.7,,,,,,,
Gausman, Kevin,592332,2022,84.4,4.1,84.5,11.7,,,,,,,85.2,16.3,
Gray, Jon,592351,2022,84.9,12.2,88.7,17,77.8,18,,,,,,,
Ray, Robbie,592662,2022,87.2,8.1,86.9,17.2,79.7,3.7,93.3,20,,,,,
Sampson, Adrian,592716,2022,83.1,10.9,85.1,17.2,,,91.9,18.3,2493,5.5,,,
Sanchez, Aaron,592717,2022,,,88,17.2,79.1,16.8,92.2,19.3,,,,,
Smith, Caleb,592761,2022,85.4,9.1,83.6,20.7,78.9,8.2,,,,,,,
Smyly, Drew,592767,2022,,,82.6,12.9,78.7,3.4,92.6,19,2103,12,,,
Stanek, Ryne,592773,2022,87.1,3.6,,,,,,,,,88.6,13.2,
Syndergaard, Noah,592789,2022,84.8,6.9,88.5,17.5,76.4,11.7,93.6,17.8,,,,,
Taillon, Jameson,592791,2022,86.2,7.9,87.7,18,81.1,13.9,94.2,20.1,2533,13.1,,,
Velasquez, Vince,592826,2022,84.7,8.7,88.1,14.3,81.5,10.7,91.9,18.8,,,,,
