last_name, first_name,player_id,year,b_total_pa,pop_2b_sba,
Torrens, Luis,620443,2022,166,1.99,
Swanson, Dansby,621020,2022,696,,
Newman, Kevin,621028,2022,309,,
Taylor, Chris,621035,2022,454,,
Correa, Carlos,621043,2022,590,,
Phillips, Brett,621433,2022,225,,
Taylor, Tyrone,621438,2022,405,,
Buxton, Byron,621439,2022,382,,
Bolt, Skye,621450,2022,116,,
Duggar, Steven,621453,2022,80,,
Rios, Edwin,621458,2022,92,,
Ward, Taylor,621493,2022,564,,
Nido, Tomas,621512,2022,313,1.96,
Bemboom, Anthony,621532,2022,59,1.99,
Wisdom, Patrick,621550,2022,534,,
Wendle, Joey,621563,2022,371,,
Olson, Matt,621566,2022,699,,
Duffy, Matt,622110,2022,247,,
Munoz, Yairo,622168,2022,60,,
Walton, Donovan,622268,2022,78,,
Margot, Manuel,622534,2022,363,,
Camargo, Johan,622666,2022,166,,
Reyes, Victor,622682,2022,336,,
Mateo, Jorge,622761,2022,533,,
Heineman, Tyler,623168,2022,174,1.94,
Velazquez, Andrew,623205,2022,349,,
Bote, David,623520,2022,127,,
Ramirez, Harold,623912,2022,435,,
Santander, Anthony,623993,2022,647,,
Alonso, Pete,624413,2022,685,,
Arroyo, Christian,624414,2022,300,,
Biggio, Cavan,624415,2022,303,,
Frazier, Adam,624428,2022,602,,
Trevino, Jose,624431,2022,353,1.99,
Gordon, Nick,624503,2022,443,,
McGuire, Reese,624512,2022,274,1.97,
Soler, Jorge,624585,2022,306,,
Sosa, Edmundo,624641,2022,190,,
Heredia, Guillermo,628338,2022,82,,
Hernandez, Yadiel,628450,2022,327,,
Ibanez, Andy,628451,2022,128,,
Cronenworth, Jake,630105,2022,684,,
Meadows, Austin,640457,2022,147,,
Mercado, Oscar,640458,2022,128,,
Pinder, Chad,640461,2022,379,,
Azocar, Jose,640492,2022,216,,
Anderson, Tim,641313,2022,351,,
Bellinger, Cody,641355,2022,550,,
Calhoun, Willie,641432,2022,62,,
Collins, Zack,641470,2022,108,2.04,
Crawford, J.P.,641487,2022,603,,
Davis, Jonathan,641505,2022,91,,
