last_name, first_name,player_id,year,p_formatted_ip,p_k_percent,p_bb_percent,ff_avg_speed,ff_range_speed,si_avg_speed,si_range_speed,fc_avg_speed,fc_range_speed,
Zimmer, Kyle,622092,2021,54.0,20.6,13.5,94.1,1.1,94.9,1.4,,,
Smith, Drew,622098,2021,41.1,24.8,9.7,95,1.1,94.9,1.3,87.9,1.6,
Sborz, Josh,622250,2021,59.0,26.8,12.5,96.7,1.1,,,,,
Staumont, Josh,622251,2021,65.2,27.3,10.2,96.5,1.7,96.7,1.7,,,
Tate, Dillon,622253,2021,67.2,17.1,8.0,95.1,1.5,95.5,1.7,86,2,
Castillo, Luis,622491,2021,187.2,23.9,9.3,97.1,1.3,97.3,1.4,,,
Crismatt, Nabil,622503,2021,81.1,20.2,6.8,90.1,1.6,89.6,1.9,,,
Senzatela, Antonio,622608,2021,156.2,15.7,4.8,94.6,1.7,94.3,1.5,,,
Hernandez, Elieser,622694,2021,51.2,23.6,6.2,90.9,1.3,90.6,1.4,,,
Diaz, Miguel,622766,2021,42.0,26.7,11.0,94.4,1.3,95.1,1.4,,,
Sewald, Paul,623149,2021,64.2,39.4,9.1,92.3,1.1,,,,,
Flexen, Chris,623167,2021,179.2,16.9,5.4,92.8,1.4,,,89.1,1.5,
Hader, Josh,623352,2021,58.2,45.5,10.7,96.4,,96.4,1.2,,,
Suarez, Ranger,624133,2021,106.0,25.6,7.9,93.7,1.2,92.9,1.4,,,
Thompson, Keegan,624522,2021,53.1,22.6,12.8,93.9,1.8,92.3,1.5,89.7,1.8,
Gonzalez, Victor,624647,2021,35.1,21.3,12.3,,,94.3,1.2,,,
Lopez, Reynaldo,625643,2021,57.2,24.8,5.9,95.8,1.4,,,,,
Maeda, Kenta,628317,2021,106.1,24.9,7.1,90.6,1.5,89.9,1.5,,,
Iglesias, Raisel,628452,2021,70.0,37.7,4.4,96.3,1.3,96.7,1.3,,,
Urias, Julio,628711,2021,185.2,26.2,5.1,94.1,1.3,93.9,1.5,,,
Crowe, Wil,640444,2021,116.2,21.2,10.9,93.7,1.3,92.9,1.3,,,
Finnegan, Kyle,640448,2021,66.0,23.1,11.6,,,95.6,1.1,,,
Manaea, Sean,640455,2021,179.1,25.7,5.4,,,92.1,1.7,,,
Alzolay, Adbert,640470,2021,125.2,24.7,6.6,94,1.5,93.8,1.5,90.2,1.3,
Lopez, Pablo,641154,2021,102.2,27.5,6.2,94.1,1.2,93.7,1.2,91.6,1.4,
Alexander, Tyler,641302,2021,106.1,19.3,6.2,90.5,1.2,90.2,1.3,86.1,1.6,
Bickford, Phil,641360,2021,51.1,28.5,9.2,93.9,1.1,92.3,,,,
Bowden, Ben,641386,2021,35.2,23.7,11.9,92.4,1.3,,,,,
Brentz, Jake,641394,2021,64.0,27.3,13.3,96.9,1.4,97.1,1.4,,,
Brogdon, Connor,641401,2021,57.2,21.3,7.7,96,1.2,94.9,1.4,88.6,1.6,
Cortes Jr., Nestor,641482,2021,93.0,27.5,6.7,90.7,1.5,90.3,1.7,85.4,1.8,
Dunning, Dane,641540,2021,117.2,22.3,8.4,89.7,1.4,90.4,1.2,85.8,1.9,
Foster, Matt,641582,2021,39.0,23.0,7.5,93.6,1.1,,,90.5,1.5,
Jimenez, Joe,641729,2021,45.1,27.1,16.7,94.7,1.3,,,,,
Kay, Anthony,641743,2021,33.2,25.0,11.5,94.5,1.4,,,88,1.6,
Keller, Brad,641745,2021,133.2,19.6,10.4,94.2,1.5,93.7,1.3,,,
Kinley, Tyler,641755,2021,70.1,23.1,8.8,95.9,1.3,98,1.5,,,
Kuhl, Chad,641771,2021,80.1,21.5,12.0,94.2,1.6,94.1,1.6,,,
Lauer, Eric,641778,2021,118.2,23.9,8.4,92.6,1.3,,,90.3,1.4,
Littell, Zack,641793,2021,61.2,25.0,9.5,94.9,1.2,,,,,
Mahle, Tyler,641816,2021,180.0,27.7,8.4,94,1.6,,,86.7,1.7,
Mayza, Tim,641835,2021,53.0,27.1,5.7,92.2,1.4,94,1.3,,,
Ober, Bailey,641927,2021,92.1,25.3,5.0,92.3,1.2,,,,,
Pagan, Emilio,641941,2021,63.1,26.2,6.8,94.9,1.1,,,86.4,1.4,
