last_name, first_name,player_id,year,b_total_pa,isolated_power,
Swanson, Dansby,621020,2022,696,.170,
Newman, Kevin,621028,2022,309,.097,
Taylor, Chris,621035,2022,454,.152,
Correa, Carlos,621043,2022,590,.176,
Phillips, Brett,621433,2022,225,.104,
Taylor, Tyrone,621438,2022,405,.209,
Buxton, Byron,621439,2022,382,.303,
Bolt, Skye,621450,2022,116,.132,
Duggar, Steven,621453,2022,80,.069,
Rios, Edwin,621458,2022,92,.256,
Ward, Taylor,621493,2022,564,.192,
Nido, Tomas,621512,2022,313,.085,
Bemboom, Anthony,621532,2022,59,.096,
Wisdom, Patrick,621550,2022,534,.220,
Wendle, Joey,621563,2022,371,.101,
Olson, Matt,621566,2022,699,.237,
Duffy, Matt,622110,2022,247,.061,
Munoz, Yairo,622168,2022,60,.193,
Walton, Donovan,622268,2022,78,.145,
Margot, Manuel,622534,2022,363,.101,
Camargo, Johan,622666,2022,166,.079,
Reyes, Victor,622682,2022,336,.108,
Mateo, Jorge,622761,2022,533,.158,
Heineman, Tyler,623168,2022,174,.051,
Velazquez, Andrew,623205,2022,349,.109,
Bote, David,623520,2022,127,.172,
Ramirez, Harold,623912,2022,435,.104,
Santander, Anthony,623993,2022,647,.214,
Alonso, Pete,624413,2022,685,.246,
Arroyo, Christian,624414,2022,300,.129,
Biggio, Cavan,624415,2022,303,.148,
Frazier, Adam,624428,2022,602,.072,
Trevino, Jose,624431,2022,353,.140,
Gordon, Nick,624503,2022,443,.156,
McGuire, Reese,624512,2022,274,.100,
Soler, Jorge,624585,2022,306,.193,
Sosa, Edmundo,624641,2022,190,.142,
Heredia, Guillermo,628338,2022,82,.184,
Hernandez, Yadiel,628450,2022,327,.141,
Ibanez, Andy,628451,2022,128,.059,
Cronenworth, Jake,630105,2022,684,.152,
Meadows, Austin,640457,2022,147,.078,
Mercado, Oscar,640458,2022,128,.165,
Pinder, Chad,640461,2022,379,.150,
Azocar, Jose,640492,2022,216,.074,
Anderson, Tim,641313,2022,351,.093,
Bellinger, Cody,641355,2022,550,.179,
Calhoun, Willie,641432,2022,62,.115,
Collins, Zack,641470,2022,108,.165,
Crawford, J.P.,641487,2022,603,.093,
Davis, Jonathan,641505,2022,91,.013,
Delay, Jason,641511,2022,167,.058,
Demeritte, Travis,641513,2022,96,.124,
Dozier, Hunter,641531,2022,500,.152,
Engel, Adam,641553,2022,260,.086,
Fraley, Jake,641584,2022,247,.208,
Garver, Mitch,641598,2022,215,.197,
Guillorme, Luis,641645,2022,335,.067,
Hampson, Garrett,641658,2022,226,.095,
Heim, Jonah,641680,2022,450,.172,
Hermosillo, Michael,641684,2022,73,.033,
Leblanc, Charles,641779,2022,169,.141,
Lewis, Kyle,641786,2022,62,.161,
Mancini III, Trey,641820,2022,587,.152,
McKinney, Billy,641856,2022,57,.077,
McMahon, Ryan,641857,2022,597,.168,
Neuse, Sheldon,641914,2022,293,.074,
O'Neill, Tyler,641933,2022,383,.165,
Robinson, Chuckie,642020,2022,60,.136,
Smith, Dominic,642086,2022,152,.090,
Tellez, Rowdy,642133,2022,599,.242,
Thaiss, Matt,642136,2022,81,.101,
VanMeter, Josh,642165,2022,192,.105,
Wade, Tyler,642180,2022,163,.054,
White, Eli,642201,2022,117,.105,
Mejia, Francisco,642336,2022,299,.138,
Siri, Jose,642350,2022,325,.126,
Sierra, Magneuris,642423,2022,96,.077,
Barrera, Luis,642456,2022,85,.104,
Rosario, Amed,642708,2022,670,.121,
Adames, Willy,642715,2022,617,.220,
Alcantara, Sergio,642727,2022,224,.137,
Estrada, Thairo,642731,2022,541,.141,
Wynns, Austin,642851,2022,177,.099,
Benintendi, Andrew,643217,2022,521,.095,
Cooper, Garrett,643265,2022,469,.155,
Dubon, Mauricio,643289,2022,265,.099,
Jansen, Danny,643376,2022,248,.256,
Kemp, Tony,643393,2022,558,.099,
Kiner-Falefa, Isiah,643396,2022,531,.066,
McNeil, Jeff,643446,2022,589,.128,
Schwindel, Frank,643524,2022,292,.129,
Chang, Yu,644374,2022,190,.107,
Albies, Ozzie,645277,2022,269,.162,
Robles, Victor,645302,2022,407,.087,
Herrera, Jose,645444,2022,124,.018,
Ford, Mike,645801,2022,149,.107,
Devers, Rafael,646240,2022,614,.225,
Naylor, Josh,647304,2022,498,.196,
Toro, Abraham,647351,2022,352,.139,
Diaz, Aledmys,649557,2022,327,.161,
Urias, Luis,649966,2022,472,.165,
Diaz, Lewin,650331,2022,174,.119,
Arraez, Luis,650333,2022,603,.104,
Palacios, Jermaine,650339,2022,77,.086,
Jimenez, Eloy,650391,2022,327,.205,
Torres, Gleyber,650402,2022,572,.194,
Castro, Willi,650489,2022,392,.126,
Diaz, Yandy,650490,2022,558,.127,
De La Cruz, Bryan,650559,2022,355,.179,
Viloria, Meibrys,650619,2022,75,.111,
Rengifo, Luis,650859,2022,511,.166,
Pinto, Rene,650907,2022,83,.113,
Adams, Riley,656180,2022,155,.134,
Allen, Greg,656185,2022,134,.085,
Bouchard, Sean,656248,2022,97,.203,
Chapman, Matt,656305,2022,621,.204,
Chavis, Michael,656308,2022,426,.160,
Fairchild, Stuart,656413,2022,110,.216,
Garrett, Stone,656448,2022,84,.263,
Hill, Derek,656537,2022,92,.060,
Hilliard, Sam,656541,2022,200,.080,
Hoskins, Rhys,656555,2022,672,.216,
Joe, Connor,656582,2022,467,.121,
Luplow, Jordan,656669,2022,234,.185,
Matijevic, J.J.,656695,2022,71,.119,
McKinstry, Zach,656716,2022,185,.163,
Mullins II, Cedric,656775,2022,672,.145,
O'Hearn, Ryan,656811,2022,145,.082,
Rivera, Emmanuel,656896,2022,359,.176,
Schwarber, Kyle,656941,2022,669,.286,
Smith, Pavin,656976,2022,277,.147,
Thomas, Lane,657041,2022,548,.163,
Tucker, Cole,657061,2022,63,.048,
Verdugo, Alex,657077,2022,644,.125,
Wong, Connor,657136,2022,56,.125,
DeJong, Paul,657557,2022,237,.129,
Laureano, Ramon,657656,2022,383,.165,
Papierski, Michael,657709,2022,103,.044,
Sheets, Gavin,657757,2022,410,.170,
Olivares, Edward,658668,2022,174,.124,
Moncada, Yoan,660162,2022,433,.141,
Ohtani, Shohei,660271,2022,666,.246,
Tsutsugo, Yoshi,660294,2022,193,.059,
Castillo, Diego,660636,2022,283,.176,
Brujan, Vidal,660644,2022,162,.095,
Garcia, Dermis,660650,2022,125,.181,
Acuna Jr., Ronald,660670,2022,533,.148,
Ruiz, Keibert,660688,2022,433,.109,
Montero, Elehuris,660707,2022,185,.199,
Gonzalez, Oscar,660757,2022,382,.166,
Yepez, Juan,660766,2022,274,.194,
Sanchez, Jesus,660821,2022,343,.188,
Park, Hoy,660829,2022,60,.157,
Contreras, William,661388,2022,376,.228,
Serven, Brian,661531,2022,205,.128,
Varsho, Daulton,662139,2022,592,.207,
Nootbaar, Lars,663457,2022,347,.221,
Nevin, Tyler,663527,2022,184,.064,
Hoerner, Nico,663538,2022,517,.129,
Riley, Austin,663586,2022,693,.255,
Madrigal, Nick,663611,2022,228,.033,
Larnach, Trevor,663616,2022,180,.175,
Mountcastle, Ryan,663624,2022,609,.173,
McKenna, Ryan,663630,2022,172,.103,
Hayes, Ke'Bryan,663647,2022,560,.101,
Tucker, Kyle,663656,2022,609,.221,
Cameron, Daz,663662,2022,70,.125,
India, Jonathan,663697,2022,431,.130,
Bart, Joey,663698,2022,291,.149,
Raleigh, Cal,663728,2022,415,.278,
Fortes, Nick,663743,2022,240,.161,
Grisham, Trent,663757,2022,524,.157,
Vierling, Matt,663837,2022,357,.105,
Rivas III, Alfonso,663845,2022,287,.072,
Gonzalez, Romy,663853,2022,109,.114,
Stephenson, Tyler,663886,2022,183,.163,
Williams, Luke,663897,2022,136,.079,
Rodgers, Brendan,663898,2022,581,.142,
Lowe, Nathaniel,663993,2022,645,.191,
Happ, Ian,664023,2022,641,.169,
Mathias, Mark,664029,2022,91,.259,
France, Ty,664034,2022,613,.162,
Lowe, Brandon,664040,2022,266,.162,
Bader, Harrison,664056,2022,313,.106,
Fletcher, David,664058,2022,228,.079,
Haggerty, Sam,664059,2022,201,.148,
Moore, Dylan,664238,2022,255,.161,
Garlick, Kyle,664247,2022,162,.200,
Lopez, Alejo,664670,2022,156,.069,
Straw, Myles,664702,2022,596,.052,
Isbel, Kyle,664728,2022,278,.129,
Higgins, P.J.,664731,2022,229,.154,
Bohm, Alec,664761,2022,631,.118,
Wade Jr., LaMonte,664774,2022,251,.152,
Mazeika, Patrick,664850,2022,72,.103,
Zavala, Seby,664874,2022,205,.112,
Mendick, Danny,664901,2022,106,.155,
Brown, Seth,664913,2022,555,.214,
McCarthy, Jake,664983,2022,354,.143,
Clemens, Kody,665019,2022,127,.162,
Walsh, Jared,665120,2022,454,.158,
Maton, Nick,665155,2022,85,.264,
Pena, Jeremy,665161,2022,558,.173,
Celestino, Gilberto,665482,2022,347,.064,
Guerrero Jr., Vladimir,665489,2022,706,.205,
Pache, Cristian,665506,2022,260,.075,
Soto, Juan,665742,2022,664,.210,
Taveras, Leody,665750,2022,341,.105,
Cabrera, Oswaldo,665828,2022,171,.182,
Cruz, Oneil,665833,2022,361,.218,
Chisholm Jr., Jazz,665862,2022,241,.282,
Gimenez, Andres,665926,2022,557,.169,
Aranda, Jonathan,666018,2022,87,.128,
Jones, Nolan,666134,2022,94,.128,
Kirilloff, Alex,666135,2022,156,.111,
Lowe, Josh,666139,2022,198,.122,
Lux, Gavin,666158,2022,471,.124,
Moniak, Mickey,666160,2022,112,.132,
Adell, Jo,666176,2022,285,.149,
Beer, Seth,666179,2022,126,.054,
Benson, Will,666181,2022,61,.018,
Bichette, Bo,666182,2022,697,.179,
Carlson, Dylan,666185,2022,488,.144,
Trammell, Taylor,666211,2022,117,.206,
